fips,pop2019,state,county,abbreviation
04005,143476,Arizona,Coconino,AZ
04007,54018,Arizona,Gila,AZ
04009,38837,Arizona,Graham,AZ
04011,9498,Arizona,Greenlee,AZ
04012,21108,Arizona,La Paz,AZ
04013,4485414,Arizona,Maricopa,AZ
04015,212181,Arizona,Mohave,AZ
04017,110924,Arizona,Navajo,AZ
04019,1047279,Arizona,Pima,AZ
04021,462789,Arizona,Pinal,AZ
04023,46498,Arizona,Santa Cruz,AZ
04025,235099,Arizona,Yavapai,AZ
04027,213787,Arizona,Yuma,AZ
05001,17486,Arkansas,Arkansas,AR
05003,19657,Arkansas,Ashley,AR
05005,41932,Arkansas,Baxter,AR
05007,279141,Arkansas,Benton,AR
05009,37432,Arkansas,Boone,AR
05011,10763,Arkansas,Bradley,AR
05013,5189,Arkansas,Calhoun,AR
05015,28380,Arkansas,Carroll,AR
05017,10118,Arkansas,Chicot,AR
05019,22320,Arkansas,Clark,AR
05021,14551,Arkansas,Clay,AR
05023,24919,Arkansas,Cleburne,AR
05025,7956,Arkansas,Cleveland,AR
05027,23457,Arkansas,Columbia,AR
05029,20846,Arkansas,Conway,AR
05031,110332,Arkansas,Craighead,AR
05033,63257,Arkansas,Crawford,AR
05035,47955,Arkansas,Crittenden,AR
05037,16419,Arkansas,Cross,AR
05039,7009,Arkansas,Dallas,AR
05041,11361,Arkansas,Desha,AR
05043,18219,Arkansas,Drew,AR
05045,126007,Arkansas,Faulkner,AR
05047,17715,Arkansas,Franklin,AR
05049,12477,Arkansas,Fulton,AR
05051,99386,Arkansas,Garland,AR
05053,18265,Arkansas,Grant,AR
05055,45325,Arkansas,Greene,AR
05057,21532,Arkansas,Hempstead,AR
05059,33771,Arkansas,Hot Spring,AR
05061,13202,Arkansas,Howard,AR
05063,37825,Arkansas,Independence,AR
05065,13629,Arkansas,Izard,AR
05067,16719,Arkansas,Jackson,AR
05069,66824,Arkansas,Jefferson,AR
05071,26578,Arkansas,Johnson,AR
05073,6624,Arkansas,Lafayette,AR
05075,16406,Arkansas,Lawrence,AR
05077,8857,Arkansas,Lee,AR
05079,13024,Arkansas,Lincoln,AR
05081,12259,Arkansas,Little River,AR
05083,21466,Arkansas,Logan,AR
05085,73309,Arkansas,Lonoke,AR
05087,16576,Arkansas,Madison,AR
05089,16694,Arkansas,Marion,AR
05091,43257,Arkansas,Miller,AR
05093,40651,Arkansas,Mississippi,AR
05095,6701,Arkansas,Monroe,AR
05097,8986,Arkansas,Montgomery,AR
05099,8252,Arkansas,Nevada,AR
05101,7753,Arkansas,Newton,AR
05103,23382,Arkansas,Ouachita,AR
05105,10455,Arkansas,Perry,AR
05107,17782,Arkansas,Phillips,AR
05109,10718,Arkansas,Pike,AR
05111,23528,Arkansas,Poinsett,AR
05113,19964,Arkansas,Polk,AR
05115,64072,Arkansas,Pope,AR
05117,8062,Arkansas,Prairie,AR
05119,391911,Arkansas,Pulaski,AR
05121,17958,Arkansas,Randolph,AR
05123,24994,Arkansas,St. Francis,AR
05125,122437,Arkansas,Saline,AR
05127,10281,Arkansas,Scott,AR
05129,7881,Arkansas,Searcy,AR
05131,127827,Arkansas,Sebastian,AR
05133,17007,Arkansas,Sevier,AR
05135,17442,Arkansas,Sharp,AR
05137,12506,Arkansas,Stone,AR
05139,38682,Arkansas,Union,AR
05141,16545,Arkansas,Van Buren,AR
05143,239187,Arkansas,Washington,AR
05145,78753,Arkansas,White,AR
05147,6320,Arkansas,Woodruff,AR
05149,21341,Arkansas,Yell,AR
06001,1671329,California,Alameda,CA
06003,1129,California,Alpine,CA
06005,39752,California,Amador,CA
06007,219186,California,Butte,CA
06009,45905,California,Calaveras,CA
06011,21547,California,Colusa,CA
06013,1153526,California,Contra Costa,CA
06015,27812,California,Del Norte,CA
06017,192843,California,El Dorado,CA
06019,999101,California,Fresno,CA
06021,28393,California,Glenn,CA
06023,135558,California,Humboldt,CA
06025,181215,California,Imperial,CA
06027,18039,California,Inyo,CA
06029,900202,California,Kern,CA
06031,152940,California,Kings,CA
06033,64386,California,Lake,CA
06035,30573,California,Lassen,CA
06037,10039107,California,Los Angeles,CA
06039,157327,California,Madera,CA
06041,258826,California,Marin,CA
06043,17203,California,Mariposa,CA
06045,86749,California,Mendocino,CA
06047,277680,California,Merced,CA
06049,8841,California,Modoc,CA
06051,14444,California,Mono,CA
06053,434061,California,Monterey,CA
06055,137744,California,Napa,CA
06057,99755,California,Nevada,CA
06059,3175692,California,Orange,CA
06061,398329,California,Placer,CA
06063,18807,California,Plumas,CA
06065,2470546,California,Riverside,CA
06067,1552058,California,Sacramento,CA
06069,62808,California,San Benito,CA
06071,2180085,California,San Bernardino,CA
06073,3338330,California,San Diego,CA
06075,881549,California,San Francisco,CA
06077,762148,California,San Joaquin,CA
06079,283111,California,San Luis Obispo,CA
06081,766573,California,San Mateo,CA
06083,446499,California,Santa Barbara,CA
06085,1927852,California,Santa Clara,CA
06087,273213,California,Santa Cruz,CA
06089,180080,California,Shasta,CA
06091,3005,California,Sierra,CA
06093,43539,California,Siskiyou,CA
06095,447643,California,Solano,CA
06097,494336,California,Sonoma,CA
06099,550660,California,Stanislaus,CA
06101,96971,California,Sutter,CA
06103,65084,California,Tehama,CA
06105,12285,California,Trinity,CA
06107,466195,California,Tulare,CA
06109,54478,California,Tuolumne,CA
06111,846006,California,Ventura,CA
06113,220500,California,Yolo,CA
06115,78668,California,Yuba,CA
08001,517421,Colorado,Adams,CO
08003,16233,Colorado,Alamosa,CO
08005,656590,Colorado,Arapahoe,CO
08007,14029,Colorado,Archuleta,CO
08009,3581,Colorado,Baca,CO
08011,5577,Colorado,Bent,CO
08013,326196,Colorado,Boulder,CO
08014,70465,Colorado,Broomfield,CO
08015,20356,Colorado,Chaffee,CO
08017,1831,Colorado,Cheyenne,CO
08019,9700,Colorado,Clear Creek,CO
08021,8205,Colorado,Conejos,CO
08023,3887,Colorado,Costilla,CO
08025,6061,Colorado,Crowley,CO
08027,5068,Colorado,Custer,CO
08029,31162,Colorado,Delta,CO
08031,727211,Colorado,Denver,CO
08033,2055,Colorado,Dolores,CO
08035,351154,Colorado,Douglas,CO
08037,55127,Colorado,Eagle,CO
08039,26729,Colorado,Elbert,CO
08041,720403,Colorado,El Paso,CO
08043,47839,Colorado,Fremont,CO
08045,60061,Colorado,Garfield,CO
08047,6243,Colorado,Gilpin,CO
08049,15734,Colorado,Grand,CO
08051,17462,Colorado,Gunnison,CO
08053,820,Colorado,Hinsdale,CO
08055,6897,Colorado,Huerfano,CO
08057,1392,Colorado,Jackson,CO
08059,582881,Colorado,Jefferson,CO
08061,1406,Colorado,Kiowa,CO
08063,7097,Colorado,Kit Carson,CO
08065,8127,Colorado,Lake,CO
08067,56221,Colorado,La Plata,CO
08069,356899,Colorado,Larimer,CO
08071,14506,Colorado,Las Animas,CO
08073,5701,Colorado,Lincoln,CO
08075,22409,Colorado,Logan,CO
08077,154210,Colorado,Mesa,CO
08079,769,Colorado,Mineral,CO
08081,13283,Colorado,Moffat,CO
08083,26183,Colorado,Montezuma,CO
08085,42758,Colorado,Montrose,CO
08087,29068,Colorado,Morgan,CO
08089,18278,Colorado,Otero,CO
08091,4952,Colorado,Ouray,CO
08093,18845,Colorado,Park,CO
08095,4265,Colorado,Phillips,CO
08097,17767,Colorado,Pitkin,CO
08099,12172,Colorado,Prowers,CO
08101,168424,Colorado,Pueblo,CO
08103,6324,Colorado,Rio Blanco,CO
08105,11267,Colorado,Rio Grande,CO
08107,25638,Colorado,Routt,CO
08109,6824,Colorado,Saguache,CO
08111,728,Colorado,San Juan,CO
08113,8179,Colorado,San Miguel,CO
08115,2248,Colorado,Sedgwick,CO
08117,31011,Colorado,Summit,CO
08119,25388,Colorado,Teller,CO
08121,4908,Colorado,Washington,CO
08123,324492,Colorado,Weld,CO
08125,10019,Colorado,Yuma,CO
09001,943332,Connecticut,Fairfield,CT
09003,891720,Connecticut,Hartford,CT
09005,180333,Connecticut,Litchfield,CT
09007,162436,Connecticut,Middlesex,CT
09009,854757,Connecticut,New Haven,CT
09011,265206,Connecticut,New London,CT
09013,150721,Connecticut,Tolland,CT
09015,116782,Connecticut,Windham,CT
10001,180786,Delaware,Kent,DE
10003,558753,Delaware,New Castle,DE
10005,234225,Delaware,Sussex,DE
11001,705749,District of Columbia,District of Columbia,DC
12001,269043,Florida,Alachua,FL
12003,29210,Florida,Baker,FL
12005,174705,Florida,Bay,FL
12007,28201,Florida,Bradford,FL
12009,601942,Florida,Brevard,FL
12011,1952778,Florida,Broward,FL
12013,14105,Florida,Calhoun,FL
12015,188910,Florida,Charlotte,FL
12017,149657,Florida,Citrus,FL
12019,219252,Florida,Clay,FL
12021,384902,Florida,Collier,FL
12023,71686,Florida,Columbia,FL
12027,38001,Florida,DeSoto,FL
12029,16826,Florida,Dixie,FL
12031,957755,Florida,Duval,FL
12033,318316,Florida,Escambia,FL
12035,115081,Florida,Flagler,FL
12037,12125,Florida,Franklin,FL
12039,45660,Florida,Gadsden,FL
12041,18582,Florida,Gilchrist,FL
12043,13811,Florida,Glades,FL
12045,13639,Florida,Gulf,FL
12047,14428,Florida,Hamilton,FL
12049,26937,Florida,Hardee,FL
12051,42022,Florida,Hendry,FL
12053,193920,Florida,Hernando,FL
12055,106221,Florida,Highlands,FL
12057,1471968,Florida,Hillsborough,FL
12059,19617,Florida,Holmes,FL
12061,159923,Florida,Indian River,FL
12063,46414,Florida,Jackson,FL
12065,14246,Florida,Jefferson,FL
12067,8422,Florida,Lafayette,FL
12069,367118,Florida,Lake,FL
12071,770577,Florida,Lee,FL
12073,293582,Florida,Leon,FL
12075,41503,Florida,Levy,FL
12077,8354,Florida,Liberty,FL
12079,18493,Florida,Madison,FL
12081,403253,Florida,Manatee,FL
12083,365579,Florida,Marion,FL
12085,161000,Florida,Martin,FL
12086,2716940,Florida,Miami-Dade,FL
12087,74228,Florida,Monroe,FL
12089,88625,Florida,Nassau,FL
12091,210738,Florida,Okaloosa,FL
12093,42168,Florida,Okeechobee,FL
12095,1393452,Florida,Orange,FL
12097,375751,Florida,Osceola,FL
12099,1496770,Florida,Palm Beach,FL
12101,553947,Florida,Pasco,FL
12103,974996,Florida,Pinellas,FL
12105,724777,Florida,Polk,FL
12107,74521,Florida,Putnam,FL
12109,264672,Florida,St. Johns,FL
12111,328297,Florida,St. Lucie,FL
12113,184313,Florida,Santa Rosa,FL
12115,433742,Florida,Sarasota,FL
12117,471826,Florida,Seminole,FL
12119,132420,Florida,Sumter,FL
12121,44417,Florida,Suwannee,FL
12123,21569,Florida,Taylor,FL
12125,15237,Florida,Union,FL
12127,553284,Florida,Volusia,FL
12129,33739,Florida,Wakulla,FL
12131,74071,Florida,Walton,FL
12133,25473,Florida,Washington,FL
13001,18386,Georgia,Appling,GA
13003,8165,Georgia,Atkinson,GA
13005,11164,Georgia,Bacon,GA
13007,3038,Georgia,Baker,GA
13009,44890,Georgia,Baldwin,GA
13011,19234,Georgia,Banks,GA
13013,83240,Georgia,Barrow,GA
13015,107738,Georgia,Bartow,GA
13017,16700,Georgia,Ben Hill,GA
13019,19397,Georgia,Berrien,GA
13021,153159,Georgia,Bibb,GA
13023,12873,Georgia,Bleckley,GA
13025,19109,Georgia,Brantley,GA
13027,15457,Georgia,Brooks,GA
13029,39627,Georgia,Bryan,GA
13031,79608,Georgia,Bulloch,GA
13033,22383,Georgia,Burke,GA
13035,24936,Georgia,Butts,GA
13037,6189,Georgia,Calhoun,GA
13039,54666,Georgia,Camden,GA
13043,10803,Georgia,Candler,GA
13045,119992,Georgia,Carroll,GA
13047,67580,Georgia,Catoosa,GA
13049,13392,Georgia,Charlton,GA
13051,289430,Georgia,Chatham,GA
13053,10907,Georgia,Chattahoochee,GA
13055,24789,Georgia,Chattooga,GA
13057,258773,Georgia,Cherokee,GA
13059,128331,Georgia,Clarke,GA
13061,2834,Georgia,Clay,GA
13063,292256,Georgia,Clayton,GA
13065,6618,Georgia,Clinch,GA
13067,760141,Georgia,Cobb,GA
13069,43273,Georgia,Coffee,GA
13071,45600,Georgia,Colquitt,GA
13073,156714,Georgia,Columbia,GA
13075,17270,Georgia,Cook,GA
13077,148509,Georgia,Coweta,GA
13079,12404,Georgia,Crawford,GA
13081,22372,Georgia,Crisp,GA
13083,16116,Georgia,Dade,GA
13085,26108,Georgia,Dawson,GA
13087,26404,Georgia,Decatur,GA
13089,759297,Georgia,DeKalb,GA
13091,20605,Georgia,Dodge,GA
13093,13390,Georgia,Dooly,GA
13095,87956,Georgia,Dougherty,GA
13097,146343,Georgia,Douglas,GA
13099,10190,Georgia,Early,GA
13101,4006,Georgia,Echols,GA
13103,64296,Georgia,Effingham,GA
13105,19194,Georgia,Elbert,GA
13107,22646,Georgia,Emanuel,GA
13109,10654,Georgia,Evans,GA
13111,26188,Georgia,Fannin,GA
13113,114421,Georgia,Fayette,GA
13115,98498,Georgia,Floyd,GA
13117,244252,Georgia,Forsyth,GA
13119,23349,Georgia,Franklin,GA
13121,1063937,Georgia,Fulton,GA
13123,31369,Georgia,Gilmer,GA
13125,2971,Georgia,Glascock,GA
13127,85292,Georgia,Glynn,GA
13129,57963,Georgia,Gordon,GA
13131,24633,Georgia,Grady,GA
13133,18324,Georgia,Greene,GA
13135,936250,Georgia,Gwinnett,GA
13137,45328,Georgia,Habersham,GA
13139,204441,Georgia,Hall,GA
13141,8457,Georgia,Hancock,GA
13143,29792,Georgia,Haralson,GA
13145,35236,Georgia,Harris,GA
13147,26205,Georgia,Hart,GA
13149,11923,Georgia,Heard,GA
13151,234561,Georgia,Henry,GA
13153,157863,Georgia,Houston,GA
13155,9416,Georgia,Irwin,GA
13157,72977,Georgia,Jackson,GA
13159,14219,Georgia,Jasper,GA
13161,15115,Georgia,Jeff Davis,GA
13163,15362,Georgia,Jefferson,GA
13165,8676,Georgia,Jenkins,GA
13167,9643,Georgia,Johnson,GA
13169,28735,Georgia,Jones,GA
13171,19077,Georgia,Lamar,GA
13173,10423,Georgia,Lanier,GA
13175,47546,Georgia,Laurens,GA
13177,29992,Georgia,Lee,GA
13179,61435,Georgia,Liberty,GA
13181,7921,Georgia,Lincoln,GA
13183,19559,Georgia,Long,GA
13185,117406,Georgia,Lowndes,GA
13187,33610,Georgia,Lumpkin,GA
13189,21312,Georgia,McDuffie,GA
13191,14378,Georgia,McIntosh,GA
13193,12947,Georgia,Macon,GA
13195,29880,Georgia,Madison,GA
13197,8359,Georgia,Marion,GA
13199,21167,Georgia,Meriwether,GA
13201,5718,Georgia,Miller,GA
13205,21863,Georgia,Mitchell,GA
13207,27578,Georgia,Monroe,GA
13209,9172,Georgia,Montgomery,GA
13211,19276,Georgia,Morgan,GA
13213,40096,Georgia,Murray,GA
13215,195769,Georgia,Muscogee,GA
13217,111744,Georgia,Newton,GA
13219,40280,Georgia,Oconee,GA
13221,15259,Georgia,Oglethorpe,GA
13223,168667,Georgia,Paulding,GA
13225,27546,Georgia,Peach,GA
13227,32591,Georgia,Pickens,GA
13229,19465,Georgia,Pierce,GA
13231,18962,Georgia,Pike,GA
13233,42613,Georgia,Polk,GA
13235,11137,Georgia,Pulaski,GA
13237,22119,Georgia,Putnam,GA
13239,2299,Georgia,Quitman,GA
13241,17137,Georgia,Rabun,GA
13243,6778,Georgia,Randolph,GA
13245,202518,Georgia,Richmond,GA
13247,90896,Georgia,Rockdale,GA
13249,5257,Georgia,Schley,GA
13251,13966,Georgia,Screven,GA
13253,8090,Georgia,Seminole,GA
13255,66703,Georgia,Spalding,GA
13257,25925,Georgia,Stephens,GA
13259,6621,Georgia,Stewart,GA
13261,29524,Georgia,Sumter,GA
13263,6195,Georgia,Talbot,GA
13265,1537,Georgia,Taliaferro,GA
13267,25286,Georgia,Tattnall,GA
13269,8020,Georgia,Taylor,GA
13271,15860,Georgia,Telfair,GA
13273,8531,Georgia,Terrell,GA
13275,44451,Georgia,Thomas,GA
13277,40644,Georgia,Tift,GA
13279,26830,Georgia,Toombs,GA
13281,12037,Georgia,Towns,GA
13283,6901,Georgia,Treutlen,GA
13285,69922,Georgia,Troup,GA
13287,7985,Georgia,Turner,GA
13289,8120,Georgia,Twiggs,GA
13291,24511,Georgia,Union,GA
13293,26320,Georgia,Upson,GA
13295,69761,Georgia,Walker,GA
13297,94593,Georgia,Walton,GA
13299,35734,Georgia,Ware,GA
13301,5254,Georgia,Warren,GA
13303,20374,Georgia,Washington,GA
13305,29927,Georgia,Wayne,GA
13307,2607,Georgia,Webster,GA
13309,7855,Georgia,Wheeler,GA
13311,30798,Georgia,White,GA
13313,104628,Georgia,Whitfield,GA
13315,8635,Georgia,Wilcox,GA
13317,9777,Georgia,Wilkes,GA
13319,8954,Georgia,Wilkinson,GA
13321,20247,Georgia,Worth,GA
15001,201513,Hawaii,Hawaii,HI
15003,974563,Hawaii,Honolulu,HI
15005,86,NA,NA,NA
15007,72293,Hawaii,Kauai,HI
15009,167417,Hawaii,Maui,HI
16001,481587,Idaho,Ada,ID
16003,4294,Idaho,Adams,ID
16005,87808,Idaho,Bannock,ID
16007,6125,Idaho,Bear Lake,ID
16009,9298,Idaho,Benewah,ID
16011,46811,Idaho,Bingham,ID
16013,23021,Idaho,Blaine,ID
16015,7831,Idaho,Boise,ID
16017,45739,Idaho,Bonner,ID
16019,119062,Idaho,Bonneville,ID
16021,12245,Idaho,Boundary,ID
16023,2597,Idaho,Butte,ID
16025,1106,Idaho,Camas,ID
16027,229849,Idaho,Canyon,ID
16029,7155,Idaho,Caribou,ID
16031,24030,Idaho,Cassia,ID
16033,845,Idaho,Clark,ID
16035,8756,Idaho,Clearwater,ID
16037,4315,Idaho,Custer,ID
16039,27511,Idaho,Elmore,ID
16041,13876,Idaho,Franklin,ID
16043,13099,Idaho,Fremont,ID
16045,18112,Idaho,Gem,ID
16047,15179,Idaho,Gooding,ID
16049,16667,Idaho,Idaho,ID
16051,29871,Idaho,Jefferson,ID
16053,24412,Idaho,Jerome,ID
16055,165697,Idaho,Kootenai,ID
16057,40108,Idaho,Latah,ID
16059,8027,Idaho,Lemhi,ID
16061,3838,Idaho,Lewis,ID
16063,5366,Idaho,Lincoln,ID
16065,39907,Idaho,Madison,ID
16067,21039,Idaho,Minidoka,ID
16069,40408,Idaho,Nez Perce,ID
16071,4531,Idaho,Oneida,ID
16073,11823,Idaho,Owyhee,ID
16075,23951,Idaho,Payette,ID
16077,7681,Idaho,Power,ID
16079,12882,Idaho,Shoshone,ID
16081,12142,Idaho,Teton,ID
16083,86878,Idaho,Twin Falls,ID
16085,11392,Idaho,Valley,ID
16087,10194,Idaho,Washington,ID
17001,65435,Illinois,Adams,IL
17003,5761,Illinois,Alexander,IL
17005,16426,Illinois,Bond,IL
17007,53544,Illinois,Boone,IL
17009,6578,Illinois,Brown,IL
17011,32628,Illinois,Bureau,IL
17013,4739,Illinois,Calhoun,IL
17015,14305,Illinois,Carroll,IL
17017,12147,Illinois,Cass,IL
17019,209689,Illinois,Champaign,IL
17021,32304,Illinois,Christian,IL
17023,15441,Illinois,Clark,IL
17025,13184,Illinois,Clay,IL
17027,37562,Illinois,Clinton,IL
17029,50621,Illinois,Coles,IL
17031,5150233,Illinois,Cook,IL
17033,18667,Illinois,Crawford,IL
17035,10766,Illinois,Cumberland,IL
17037,104897,Illinois,DeKalb,IL
17039,15638,Illinois,De Witt,IL
17041,19465,Illinois,Douglas,IL
17043,922921,Illinois,DuPage,IL
17045,17161,Illinois,Edgar,IL
17047,6395,Illinois,Edwards,IL
17049,34008,Illinois,Effingham,IL
17051,21336,Illinois,Fayette,IL
17053,12961,Illinois,Ford,IL
17055,38469,Illinois,Franklin,IL
17057,34340,Illinois,Fulton,IL
17059,4828,Illinois,Gallatin,IL
17061,12969,Illinois,Greene,IL
17063,51054,Illinois,Grundy,IL
17065,8116,Illinois,Hamilton,IL
17067,17708,Illinois,Hancock,IL
17069,3821,Illinois,Hardin,IL
17071,6646,Illinois,Henderson,IL
17073,48913,Illinois,Henry,IL
17075,27114,Illinois,Iroquois,IL
17077,56750,Illinois,Jackson,IL
17079,9610,Illinois,Jasper,IL
17081,37684,Illinois,Jefferson,IL
17083,21773,Illinois,Jersey,IL
17085,21235,Illinois,Jo Daviess,IL
17087,12417,Illinois,Johnson,IL
17089,532403,Illinois,Kane,IL
17091,109862,Illinois,Kankakee,IL
17093,128990,Illinois,Kendall,IL
17095,49699,Illinois,Knox,IL
17097,696535,Illinois,Lake,IL
17099,108669,Illinois,LaSalle,IL
17101,15678,Illinois,Lawrence,IL
17103,34096,Illinois,Lee,IL
17105,35648,Illinois,Livingston,IL
17107,28618,Illinois,Logan,IL
17109,29682,Illinois,McDonough,IL
17111,307774,Illinois,McHenry,IL
17113,171517,Illinois,McLean,IL
17115,104009,Illinois,Macon,IL
17117,44926,Illinois,Macoupin,IL
17119,262966,Illinois,Madison,IL
17121,37205,Illinois,Marion,IL
17123,11438,Illinois,Marshall,IL
17125,13359,Illinois,Mason,IL
17127,13772,Illinois,Massac,IL
17129,12196,Illinois,Menard,IL
17131,15437,Illinois,Mercer,IL
17133,34637,Illinois,Monroe,IL
17135,28414,Illinois,Montgomery,IL
17137,33658,Illinois,Morgan,IL
17139,14501,Illinois,Moultrie,IL
17141,50643,Illinois,Ogle,IL
17143,179179,Illinois,Peoria,IL
17145,20916,Illinois,Perry,IL
17147,16344,Illinois,Piatt,IL
17149,15561,Illinois,Pike,IL
17151,4177,Illinois,Pope,IL
17153,5335,Illinois,Pulaski,IL
17155,5739,Illinois,Putnam,IL
17157,31782,Illinois,Randolph,IL
17159,15513,Illinois,Richland,IL
17161,141879,Illinois,Rock Island,IL
17163,259686,Illinois,St. Clair,IL
17165,23491,Illinois,Saline,IL
17167,194672,Illinois,Sangamon,IL
17169,6768,Illinois,Schuyler,IL
17171,4951,Illinois,Scott,IL
17173,21634,Illinois,Shelby,IL
17175,5342,Illinois,Stark,IL
17177,44498,Illinois,Stephenson,IL
17179,131803,Illinois,Tazewell,IL
17181,16653,Illinois,Union,IL
17183,75758,Illinois,Vermilion,IL
17185,11520,Illinois,Wabash,IL
17187,16844,Illinois,Warren,IL
17189,13887,Illinois,Washington,IL
17191,16215,Illinois,Wayne,IL
17193,13537,Illinois,White,IL
17195,55175,Illinois,Whiteside,IL
17197,690743,Illinois,Will,IL
17199,66597,Illinois,Williamson,IL
17201,282572,Illinois,Winnebago,IL
17203,38459,Illinois,Woodford,IL
18001,35777,Indiana,Adams,IN
18003,379299,Indiana,Allen,IN
18005,83779,Indiana,Bartholomew,IN
18007,8748,Indiana,Benton,IN
18009,11758,Indiana,Blackford,IN
18011,67843,Indiana,Boone,IN
18013,15092,Indiana,Brown,IN
18015,20257,Indiana,Carroll,IN
18017,37689,Indiana,Cass,IN
18019,118302,Indiana,Clark,IN
18021,26225,Indiana,Clay,IN
18023,32399,Indiana,Clinton,IN
18025,10577,Indiana,Crawford,IN
18027,33351,Indiana,Daviess,IN
18029,49458,Indiana,Dearborn,IN
18031,26559,Indiana,Decatur,IN
18033,43475,Indiana,DeKalb,IN
18035,114135,Indiana,Delaware,IN
18037,42736,Indiana,Dubois,IN
18039,206341,Indiana,Elkhart,IN
18041,23102,Indiana,Fayette,IN
18043,78522,Indiana,Floyd,IN
18045,16346,Indiana,Fountain,IN
18047,22758,Indiana,Franklin,IN
18049,19974,Indiana,Fulton,IN
18051,33659,Indiana,Gibson,IN
18053,65769,Indiana,Grant,IN
18055,31922,Indiana,Greene,IN
18057,338011,Indiana,Hamilton,IN
18059,78168,Indiana,Hancock,IN
18061,40515,Indiana,Harrison,IN
18063,170311,Indiana,Hendricks,IN
18065,47972,Indiana,Henry,IN
18067,82544,Indiana,Howard,IN
18069,36520,Indiana,Huntington,IN
